Pokemon, Number, Type1, Type2, Ability1, Ability2, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, Sprite
Bulbasaur,1,GRASS,POISON,Overgrow,Chlorophyll,45,49,49,65,65,45,https://play.pokemonshowdown.com/sprites/bw/bulbasaur.png
Ivysaur,2,GRASS,POISON,Overgrow,Chlorophyll,60,62,63,80,80,60,https://play.pokemonshowdown.com/sprites/bw/ivysaur.png
Venusaur,3,GRASS,POISON,Overgrow,Chlorophyll,80,82,83,100,100,80,https://play.pokemonshowdown.com/sprites/bw/venusaur.png
Charmander,4,FIRE,none,Blaze,Solar Power,39,52,43,60,50,65,https://play.pokemonshowdown.com/sprites/bw/charmander.png
Charmeleon,5,FIRE,none,Blaze,Solar Power,58,64,58,80,65,80,https://play.pokemonshowdown.com/sprites/bw/charmeleon.png
Charizard,6,FIRE,FLYING,Blaze,Solar Power,78,84,78,109,85,100,https://play.pokemonshowdown.com/sprites/bw/charizard.png
Squirtle,7,WATER,none,Torrent,Rain Dish,44,48,65,50,64,43,https://play.pokemonshowdown.com/sprites/bw/squirtle.png
Wartortle,8,WATER,none,Torrent,Rain Dish,59,63,80,65,80,58,https://play.pokemonshowdown.com/sprites/bw/wartortle.png
Blastoise,9,WATER,none,Torrent,Rain Dish,79,83,100,85,105,78,https://play.pokemonshowdown.com/sprites/bw/blastoise.png
Caterpie,10,BUG,none,Shield Dust,Run Away,45,30,35,20,20,45,https://play.pokemonshowdown.com/sprites/bw/caterpie.png
Metapod,11,BUG,none,Shed Skin,none,50,20,55,25,25,30,https://play.pokemonshowdown.com/sprites/bw/metapod.png
Butterfree,12,BUG,FLYING,Compound Eyes,Tinted Lens,60,45,50,90,80,70,https://play.pokemonshowdown.com/sprites/bw/butterfree.png
Weedle,13,BUG,POISON,Shield Dust,Run Away,40,35,30,20,20,50,https://play.pokemonshowdown.com/sprites/bw/weedle.png
Kakuna,14,BUG,POISON,Shed Skin,none,45,25,50,25,25,35,https://play.pokemonshowdown.com/sprites/bw/kakuna.png
Beedrill,15,BUG,POISON,Swarm,Sniper,65,90,40,45,80,75,https://play.pokemonshowdown.com/sprites/bw/beedrill.png
Pidgey,16,NORMAL,FLYING,Keen Eye,none,40,45,40,35,35,56,https://play.pokemonshowdown.com/sprites/bw/pidgey.png
Pidgeotto,17,NORMAL,FLYING,Keen Eye,none,63,60,55,50,50,71,https://play.pokemonshowdown.com/sprites/bw/pidgeotto.png
Pidgeot,18,NORMAL,FLYING,Keen Eye,none,83,80,75,70,70,101,https://play.pokemonshowdown.com/sprites/bw/pidgeot.png
Rattata,19,NORMAL,none,Run Away,none,30,56,35,25,35,72,https://play.pokemonshowdown.com/sprites/bw/rattata.png
Raticate,20,NORMAL,none,Run Away,none,55,81,60,50,70,97,https://play.pokemonshowdown.com/sprites/bw/raticate.png
Spearow,21,NORMAL,FLYING,Keen Eye,Sniper,40,60,30,31,31,70,https://play.pokemonshowdown.com/sprites/bw/spearow.png
Fearow,22,NORMAL,FLYING,Keen Eye,Sniper,65,90,65,61,61,100,https://play.pokemonshowdown.com/sprites/bw/fearow.png
Ekans,23,POISON,none,Intimidate,none,35,60,44,40,54,55,https://play.pokemonshowdown.com/sprites/bw/ekans.png
Arbok,24,POISON,none,Intimidate,none,60,95,69,65,79,80,https://play.pokemonshowdown.com/sprites/bw/arbok.png
Pikachu,25,ELECTRIC,none,Static,Lightning Rod,35,55,40,50,50,90,https://play.pokemonshowdown.com/sprites/bw/pikachu.png
Raichu,26,ELECTRIC,none,Static,Lightning Rod,60,90,55,90,80,110,https://play.pokemonshowdown.com/sprites/bw/raichu.png
Sandshrew,27,GROUND,none,Sand Veil,Sand Rush,50,75,85,20,30,40,https://play.pokemonshowdown.com/sprites/bw/sandshrew.png
Sandslash,28,GROUND,none,Sand Veil,Sand Rush,75,100,110,45,55,65,https://play.pokemonshowdown.com/sprites/bw/sandslash.png
Nidoran-F,29,POISON,none,Poison Point,none,55,47,52,40,40,41,https://play.pokemonshowdown.com/sprites/bw/nidoranf.png
Nidorina,30,POISON,none,Poison Point,none,70,62,67,55,55,56,https://play.pokemonshowdown.com/sprites/bw/nidorina.png
Nidoqueen,31,POISON,GROUND,Poison Point,none,90,92,87,75,85,76,https://play.pokemonshowdown.com/sprites/bw/nidoqueen.png
Nidoran-M,32,POISON,none,Poison Point,none,46,57,40,40,40,50,https://play.pokemonshowdown.com/sprites/bw/nidoranm.png
Nidorino,33,POISON,none,Poison Point,none,61,72,57,55,55,65,https://play.pokemonshowdown.com/sprites/bw/nidorino.png
Nidoking,34,POISON,GROUND,Poison Point,none,81,102,77,85,75,85,https://play.pokemonshowdown.com/sprites/bw/nidoking.png
Clefairy,35,FAIRY,none,Cute Charm,none,70,45,48,60,65,35,https://play.pokemonshowdown.com/sprites/bw/clefairy.png
